Price,Close,High,Low,Open,Volume,Prediccion_RNN,Precio_Real
2019-12-04,9270.7998046875,9277.599609375,9144.7998046875,9146.2001953125,152240500.0,9130.321,9270.7998046875
2019-12-05,9243.400390625,9325.7998046875,9243.400390625,9284.2998046875,120855300.0,9210.658,9243.400390625
2019-12-06,9382.7001953125,9395.400390625,9247.7001953125,9267.2998046875,125323400.0,9251.454,9382.7001953125
2019-12-09,9354.599609375,9403.5,9354.599609375,9378.2001953125,106942600.0,9324.677,9354.599609375
2019-12-10,9321.099609375,9355.7001953125,9246.099609375,9355.599609375,136834300.0,9364.684,9321.099609375
2019-12-11,9392.5,9421.5,9300.2998046875,9315.400390625,145840600.0,9327.244,9392.5
2019-12-12,9468.5,9505.599609375,9370.0,9416.2998046875,213476500.0,9352.9375,9468.5
2019-12-13,9563.7001953125,9650.900390625,9554.099609375,9598.2001953125,261410400.0,9440.011,9563.7001953125
2019-12-16,9680.599609375,9692.400390625,9599.7001953125,9607.900390625,163326900.0,9535.23,9680.599609375
2019-12-17,9615.900390625,9652.400390625,9608.099609375,9630.7001953125,157680000.0,9638.273,9615.900390625
2019-12-18,9621.7998046875,9659.2001953125,9606.099609375,9606.099609375,156463700.0,9632.398,9621.7998046875
2019-12-19,9617.2001953125,9635.400390625,9567.400390625,9622.599609375,165383700.0,9604.201,9617.2001953125
2019-12-20,9675.5,9675.5,9605.7998046875,9620.400390625,366705600.0,9613.598,9675.5
2019-12-23,9659.599609375,9670.900390625,9639.0,9650.2001953125,119328700.0,9649.237,9659.599609375
2019-12-24,9661.7998046875,9661.7998046875,9607.7998046875,9632.099609375,35436200.0,9653.727,9661.7998046875
2019-12-27,9700.5,9700.5,9657.5,9673.0,103106600.0,9656.325,9700.5
2019-12-30,9612.599609375,9682.099609375,9612.599609375,9672.5,95100900.0,9675.074,9612.599609375
2019-12-31,9549.2001953125,9564.900390625,9518.5,9564.900390625,62697500.0,9629.727,9549.2001953125
2020-01-02,9691.2001953125,9705.400390625,9615.099609375,9639.099609375,142379600.0,9567.793,9691.2001953125
2020-01-03,9646.599609375,9650.7001953125,9581.2001953125,9631.2001953125,135130000.0,9631.633,9646.599609375
2020-01-06,9600.900390625,9618.2001953125,9492.7001953125,9585.400390625,103520400.0,9655.1,9600.900390625
2020-01-07,9579.7998046875,9657.900390625,9557.900390625,9623.099609375,133476100.0,9615.367,9579.7998046875
2020-01-08,9591.400390625,9604.2998046875,9520.2998046875,9535.099609375,133957600.0,9563.26,9591.400390625
2020-01-09,9581.7998046875,9644.7998046875,9573.7998046875,9629.2001953125,151793500.0,9580.368,9581.7998046875
2020-01-10,9573.599609375,9623.599609375,9557.900390625,9611.2998046875,132894500.0,9570.754,9573.599609375
2020-01-13,9543.900390625,9586.599609375,9507.400390625,9586.599609375,124149000.0,9561.781,9543.900390625
2020-01-14,9528.2998046875,9548.400390625,9466.0,9548.099609375,143774600.0,9551.241,9528.2998046875
2020-01-15,9511.7001953125,9530.2001953125,9475.0,9521.2001953125,161995000.0,9518.766,9511.7001953125
2020-01-16,9572.5,9579.5,9481.599609375,9516.7001953125,133841500.0,9493.594,9572.5
2020-01-17,9681.2998046875,9709.900390625,9611.2998046875,9616.099609375,159823200.0,9535.173,9681.2998046875
2020-01-20,9658.7998046875,9680.900390625,9623.099609375,9676.599609375,99959200.0,9629.917,9658.7998046875
2020-01-21,9611.2998046875,9620.7001953125,9550.0,9593.400390625,126448800.0,9663.533,9611.2998046875
